ID,Name,Cost,Type,ParamType,EquipType,EventFlagID,SellQuantity
2070,Hammer Talisman,10000,Talisman,Accessory,2,1042397700,1
2081,Rotten Winged Sword Insignia,50000,Talisman,Accessory,2,400480,1
2090,Dagger Talisman,40000,Talisman,Accessory,2,16007620,1
2100,Arrow's Reach Talisman,10000,Talisman,Accessory,2,1042377300,1
2110,Blue Dancer Charm,30000,Talisman,Accessory,2,520350,1
2120,Twinblade Talisman,10000,Talisman,Accessory,2,1043317900,1
2130,Axe Talisman,40000,Talisman,Accessory,2,1045377100,1
2140,Lance Talisman,10000,Talisman,Accessory,2,1043407010,1
2150,Arrow's Sting Talisman,10000,Talisman,Accessory,2,1050367900,1
2160,Lord of Blood's Exultation,50000,Talisman,Accessory,2,520220,1
2170,Kindred of Rot's Exultation,40000,Talisman,Accessory,2,520390,1
2180,Claw Talisman,30000,Talisman,Accessory,2,10007230,1
2190,Roar Medallion,10000,Talisman,Accessory,2,520610,1
2200,Curved Sword Talisman,10000,Talisman,Accessory,2,10007975,1
2210,Companion Jar,10000,Talisman,Accessory,2,400460,1
2220,Perfumer's Talisman,10000,Talisman,Accessory,2,1036527010,1
3001,Graven-Mass Talisman,10000,Talisman,Accessory,2,1050567820,1
3040,Faithful's Canvas Talisman,10000,Talisman,Accessory,2,32087120,1
3050,Flock's Canvas Talisman,10000,Talisman,Accessory,2,400312,1
3060,Old Lord's Talisman,10000,Talisman,Accessory,2,13007950,1
3070,Radagon Icon,20000,Talisman,Accessory,2,14007940,1
3080,Primal Glintstone Blade,10000,Talisman,Accessory,2,1051567900,1
3090,Godfrey Icon,30000,Talisman,Accessory,2,1039507100,1
4003,Dragoncrest Greatshield Talisman,30000,Talisman,Accessory,2,15007930,1
4012,Spelldrake Talisman +2,10000,Talisman,Accessory,2,30207060,1
4022,Flamedrake Talisman +2,10000,Talisman,Accessory,2,520440,1
4032,Boltdrake Talisman +2,10000,Talisman,Accessory,2,13007760,1
4042,Haligdrake Talisman +2,10000,Talisman,Accessory,2,12057370,1
4052,Pearldrake Talisman +2,10000,Talisman,Accessory,2,15007220,1
4060,Crucible Scale Talisman,10000,Talisman,Accessory,2,35007940,1
4070,Crucible Feather Talisman,10000,Talisman,Accessory,2,30107040,1
4080,Blue-Feathered Branchsword,10000,Talisman,Accessory,2,1042387400,1
4090,Ritual Shield Talisman,50000,Talisman,Accessory,2,11007996,1
4100,Greatshield Talisman,10000,Talisman,Accessory,2,1038517030,1
4110,Crucible Knot Talisman,10000,Talisman,Accessory,2,530225,1
5000,Crimson Seed Talisman,10000,Talisman,Accessory,2,30087010,1
5010,Cerulean Seed Talisman,10000,Talisman,Accessory,2,34117080,1
5020,Blessed Dew Talisman,10000,Talisman,Accessory,2,11007994,1
5030,Taker's Cameo,10000,Talisman,Accessory,2,400078,1
5040,Godskin Swaddling Cloth,10000,Talisman,Accessory,2,520480,1
5050,Assassin's Crimson Dagger,10000,Talisman,Accessory,2,520030,1
5060,Assassin's Cerulean Dagger,10000,Talisman,Accessory,2,520210,1
6000,Crepus's Vial,30000,Talisman,Accessory,2,1039537700,1
6010,Concealing Veil,10000,Talisman,Accessory,2,520420,1
6020,Carian Filigreed Crest,10000,Talisman,Accessory,2,120290,1
6040,Longtail Cat Talisman,10000,Talisman,Accessory,2,14007320,1
6050,Shabriri's Woe,10000,Talisman,Accessory,2,1038487100,1
6060,Daedicar's Woe,10000,Talisman,Accessory,2,400091,1
6070,Sacrificial Twig,10000,Talisman,Accessory,2,,1
6080,Furled Finger's Trick-Mirror,10000,Talisman,Accessory,2,250330,1
6090,Host's Trick-Mirror,10000,Talisman,Accessory,2,250340,1
6110,Ancestral Spirit's Horn,10000,Talisman,Accessory,2,290250,1
10100,Smithing Stone [1],200,Upgrade Stone,Good,3,,-1
10101,Smithing Stone [2],400,Upgrade Stone,Good,3,,-1
10102,Smithing Stone [3],600,Upgrade Stone,Good,3,,-1
10103,Smithing Stone [4],900,Upgrade Stone,Good,3,,-1
10104,Smithing Stone [5],1200,Upgrade Stone,Good,3,,-1
10105,Smithing Stone [6],1500,Upgrade Stone,Good,3,,-1
10106,Smithing Stone [7],2400,Upgrade Stone,Good,3,,-1
10107,Smithing Stone [8],3600,Upgrade Stone,Good,3,,-1
10160,Somber Smithing Stone [1],2000,Upgrade Stone,Good,3,,-1
10161,Somber Smithing Stone [2],3000,Upgrade Stone,Good,3,,-1
10162,Somber Smithing Stone [3],4000,Upgrade Stone,Good,3,,-1
10163,Somber Smithing Stone [4],6000,Upgrade Stone,Good,3,,-1
10164,Somber Smithing Stone [5],9000,Upgrade Stone,Good,3,,-1
10165,Somber Smithing Stone [6],12000,Upgrade Stone,Good,3,,-1
10166,Somber Smithing Stone [7],16000,Upgrade Stone,Good,3,,-1
10167,Somber Smithing Stone [8],20000,Upgrade Stone,Good,3,,-1
10200,Somber Smithing Stone [9],25000,Upgrade Stone,Good,3,,-1
30200,Ash of War: Parry,600,Ash of War,Gem,4,100820,1
10900,Grave Glovewort [1],800,Upgrade Stone,Good,3,,-1
10901,Grave Glovewort [2],1200,Upgrade Stone,Good,3,,-1
10902,Grave Glovewort [3],1600,Upgrade Stone,Good,3,,-1
10903,Grave Glovewort [4],2400,Upgrade Stone,Good,3,,-1
10904,Grave Glovewort [5],3200,Upgrade Stone,Good,3,,-1
10905,Grave Glovewort [6],4000,Upgrade Stone,Good,3,,-1
10906,Grave Glovewort [7],5000,Upgrade Stone,Good,3,,-1
10907,Grave Glovewort [8],6000,Upgrade Stone,Good,3,,-1
10908,Grave Glovewort [9],8000,Upgrade Stone,Good,3,,-1
10910,Ghost Glovewort [1],1200,Upgrade Stone,Good,3,,-1
10911,Ghost Glovewort [2],1800,Upgrade Stone,Good,3,,-1
10912,Ghost Glovewort [3],2400,Upgrade Stone,Good,3,,-1
10913,Ghost Glovewort [4],3600,Upgrade Stone,Good,3,,-1
10914,Ghost Glovewort [5],4800,Upgrade Stone,Good,3,,-1
10915,Ghost Glovewort [6],6000,Upgrade Stone,Good,3,,-1
10916,Ghost Glovewort [7],7500,Upgrade Stone,Good,3,,-1
10917,Ghost Glovewort [8],9000,Upgrade Stone,Good,3,,-1
10918,Ghost Glovewort [9],12000,Upgrade Stone,Good,3,,-1
