ID,Name,Cost,Type,ParamType,EquipType,EventFlagID,SellQuantity
4042,Haligdrake Talisman +2,10000,Talisman,Accessory,2,12057370,1
4052,Pearldrake Talisman +2,10000,Talisman,Accessory,2,15007220,1
4090,Ritual Shield Talisman,50000,Talisman,Accessory,2,11007996,1
5000,Crimson Seed Talisman,50000,Talisman,Accessory,2,30087010,1
5050,Assassin's Crimson Dagger,10000,Talisman,Accessory,2,520030,1
6020,Carian Filigreed Crest,10000,Talisman,Accessory,2,120290,1
10100,Smithing Stone [1],200,Upgrade Stone,Good,3,,-1
10101,Smithing Stone [2],400,Upgrade Stone,Good,3,,-1
10102,Smithing Stone [3],600,Upgrade Stone,Good,3,,-1
10103,Smithing Stone [4],900,Upgrade Stone,Good,3,,-1
10104,Smithing Stone [5],1200,Upgrade Stone,Good,3,,-1
10105,Smithing Stone [6],1500,Upgrade Stone,Good,3,,-1
10106,Smithing Stone [7],2400,Upgrade Stone,Good,3,,-1
10107,Smithing Stone [8],3600,Upgrade Stone,Good,3,,-1
10160,Somber Smithing Stone [1],2000,Upgrade Stone,Good,3,,-1
10161,Somber Smithing Stone [2],3000,Upgrade Stone,Good,3,,-1
10162,Somber Smithing Stone [3],4000,Upgrade Stone,Good,3,,-1
10163,Somber Smithing Stone [4],6000,Upgrade Stone,Good,3,,-1
10164,Somber Smithing Stone [5],9000,Upgrade Stone,Good,3,,-1
10165,Somber Smithing Stone [6],12000,Upgrade Stone,Good,3,,-1
10166,Somber Smithing Stone [7],16000,Upgrade Stone,Good,3,,-1
10167,Somber Smithing Stone [8],20000,Upgrade Stone,Good,3,,-1
10200,Somber Smithing Stone [9],25000,Upgrade Stone,Good,3,,-1
30200,Ash of War: Parry,600,Ash of War,Gem,4,100820,1
10020,Sacred Tear,15000,Flask Upgrade,Good,3,,6
10010,Golden Seed,5000,Flask Upgrade,Good,3,,26
